accession	reference	antibiotic	mic	mic_numeric
ERR1528200	Harris2018	cefixime	0.016	0.016
ERR1528200	Harris2018	ceftriaxone	0.006	0.006
ERR1528200	Harris2018	ciprofloxacin	0.006	0.006
ERR1528201	Harris2018	azithromycin	0.38	0.38
ERR1528201	Harris2018	cefixime	0.023	0.023
ERR1528201	Harris2018	ceftriaxone	0.023	0.023
ERR1528201	Harris2018	ciprofloxacin	3	3
ERR1528202	Harris2018	azithromycin	0.25	0.25
ERR1528202	Harris2018	cefixime	0.023	0.023
ERR1528202	Harris2018	ceftriaxone	0.032	0.032
ERR1528202	Harris2018	ciprofloxacin	32	32
ERR1528203	Harris2018	azithromycin	0.5	0.5
ERR1528203	Harris2018	cefixime	0.125	0.125
ERR1528203	Harris2018	ceftriaxone	0.094	0.094
ERR1528203	Harris2018	ciprofloxacin	32	32
ERR1528204	Harris2018	azithromycin	0.25	0.25
ERR1528204	Harris2018	cefixime	0.016	0.016
ERR1528204	Harris2018	ceftriaxone	0.003	0.003
ERR1528204	Harris2018	ciprofloxacin	0.004	0.004
ERR1528205	Harris2018	azithromycin	0.5	0.5
ERR1528205	Harris2018	cefixime	0.016	0.016
ERR1528205	Harris2018	ceftriaxone	0.003	0.003
ERR1528205	Harris2018	ciprofloxacin	0.006	0.006
ERR1528206	Harris2018	azithromycin	0.5	0.5
ERR1528206	Harris2018	cefixime	0.016	0.016
ERR1528206	Harris2018	ceftriaxone	0.003	0.003
ERR1528206	Harris2018	ciprofloxacin	0.003	0.003
ERR1528207	Harris2018	azithromycin	0.064	0.064
ERR1528207	Harris2018	cefixime	0.023	0.023
ERR1528207	Harris2018	ceftriaxone	0.008	0.008
ERR1528207	Harris2018	ciprofloxacin	3	3
ERR1528208	Harris2018	azithromycin	0.032	0.032
ERR1528208	Harris2018	cefixime	0.016	0.016
ERR1528208	Harris2018	ceftriaxone	0.002	0.002
ERR1528208	Harris2018	ciprofloxacin	0.004	0.004
ERR1528209	Harris2018	azithromycin	0.38	0.38
ERR1528209	Harris2018	cefixime	0.064	0.064
ERR1528209	Harris2018	ceftriaxone	0.047	0.047
ERR1528209	Harris2018	ciprofloxacin	32	32
ERR1528210	Harris2018	azithromycin	0.5	0.5
ERR1528210	Harris2018	cefixime	0.016	0.016
ERR1528210	Harris2018	ceftriaxone	0.012	0.012
ERR1528210	Harris2018	ciprofloxacin	0.016	0.016
ERR1528211	Harris2018	azithromycin	0.125	0.125
ERR1528211	Harris2018	cefixime	0.016	0.016
ERR1528211	Harris2018	ceftriaxone	0.003	0.003
ERR1528211	Harris2018	ciprofloxacin	4	4
ERR1528212	Harris2018	azithromycin	0.125	0.125
ERR1528212	Harris2018	cefixime	0.016	0.016
ERR1528212	Harris2018	ceftriaxone	0.012	0.012
ERR1528212	Harris2018	ciprofloxacin	0.006	0.006
ERR1528213	Harris2018	azithromycin	2	2
ERR1528213	Harris2018	cefixime	0.125	0.125
ERR1528213	Harris2018	ceftriaxone	0.094	0.094
ERR1528213	Harris2018	ciprofloxacin	0.016	0.016
ERR1528214	Harris2018	azithromycin	0.25	0.25
ERR1528214	Harris2018	cefixime	0.016	0.016
ERR1528214	Harris2018	ceftriaxone	0.008	0.008
ERR1528214	Harris2018	ciprofloxacin	0.016	0.016
ERR1528215	Harris2018	azithromycin	0.75	0.75
ERR1528215	Harris2018	cefixime	0.032	0.032
ERR1528215	Harris2018	ceftriaxone	0.032	0.032
ERR1528215	Harris2018	ciprofloxacin	32	32
ERR1528216	Harris2018	cefixime	0.094	0.094
ERR1528216	Harris2018	ceftriaxone	0.094	0.094
ERR1528217	Harris2018	cefixime	0.047	0.047
ERR1528217	Harris2018	ceftriaxone	0.023	0.023
ERR1528218	Harris2018	azithromycin	0.25	0.25
ERR1528218	Harris2018	cefixime	0.016	0.016
ERR1528218	Harris2018	ceftriaxone	0.016	0.016
ERR1528218	Harris2018	ciprofloxacin	8	8
ERR1528219	Harris2018	azithromycin	0.047	0.047
ERR1528219	Harris2018	cefixime	0.032	0.032
ERR1528219	Harris2018	ceftriaxone	0.008	0.008
ERR1528219	Harris2018	ciprofloxacin	2	2
ERR1528220	Harris2018	azithromycin	0.047	0.047
ERR1528220	Harris2018	cefixime	0.047	0.047
ERR1528220	Harris2018	ceftriaxone	0.012	0.012
ERR1528220	Harris2018	ciprofloxacin	2	2
ERR1528221	Harris2018	azithromycin	0.5	0.5
ERR1528221	Harris2018	cefixime	0.023	0.023
ERR1528221	Harris2018	ceftriaxone	0.047	0.047
ERR1528221	Harris2018	ciprofloxacin	32	32
ERR1528222	Harris2018	azithromycin	0.125	0.125
ERR1528222	Harris2018	cefixime	0.016	0.016
ERR1528222	Harris2018	ceftriaxone	0.008	0.008
ERR1528222	Harris2018	ciprofloxacin	2	2
ERR1528223	Harris2018	azithromycin	0.25	0.25
ERR1528223	Harris2018	cefixime	0.016	0.016
ERR1528223	Harris2018	ceftriaxone	0.023	0.023
ERR1528223	Harris2018	ciprofloxacin	32	32
ERR1528224	Harris2018	cefixime	0.094	0.094
ERR1528224	Harris2018	ceftriaxone	0.032	0.032
ERR1528225	Harris2018	cefixime	0.016	0.016
ERR1528225	Harris2018	ceftriaxone	0.016	0.016
ERR1528226	Harris2018	cefixime	0.016	0.016
ERR1528226	Harris2018	ceftriaxone	0.008	0.008
ERR1528227	Harris2018	cefixime	0.016	0.016
ERR1528227	Harris2018	ceftriaxone	0.008	0.008
ERR1528228	Harris2018	cefixime	0.016	0.016
ERR1528228	Harris2018	ceftriaxone	0.012	0.012
ERR1528229	Harris2018	cefixime	0.016	0.016
ERR1528229	Harris2018	ceftriaxone	0.004	0.004
ERR1528230	Harris2018	cefixime	0.016	0.016
ERR1528230	Harris2018	ceftriaxone	0.023	0.023
ERR1528230	Harris2018	ciprofloxacin	0.008	0.008
ERR1528231	Harris2018	azithromycin	0.25	0.25
ERR1528231	Harris2018	cefixime	0.125	0.125
ERR1528231	Harris2018	ceftriaxone	0.06	0.06
ERR1528231	Harris2018	ciprofloxacin	8	8
ERR1528232	Harris2018	azithromycin	0.5	0.5
ERR1528232	Harris2018	cefixime	0.06	0.06
ERR1528232	Harris2018	ceftriaxone	0.03	0.03
ERR1528232	Harris2018	ciprofloxacin	8	8
ERR1528233	Harris2018	azithromycin	0.5	0.5
ERR1528233	Harris2018	cefixime	0.06	0.06
ERR1528233	Harris2018	ceftriaxone	0.06	0.06
ERR1528233	Harris2018	ciprofloxacin	8	8
ERR1528234	Harris2018	azithromycin	0.5	0.5
ERR1528234	Harris2018	cefixime	0.015	0.015
ERR1528234	Harris2018	ceftriaxone	0.015	0.015
ERR1528234	Harris2018	ciprofloxacin	8	8
ERR1528235	Harris2018	azithromycin	0.5	0.5
ERR1528235	Harris2018	cefixime	0.008	0.008
ERR1528235	Harris2018	ceftriaxone	0.008	0.008
ERR1528235	Harris2018	ciprofloxacin	4	4
ERR1528236	Harris2018	azithromycin	0.125	0.125
ERR1528236	Harris2018	cefixime	0.008	0.008
ERR1528236	Harris2018	ceftriaxone	0.004	0.004
ERR1528236	Harris2018	ciprofloxacin	0.004	0.004
ERR1528237	Harris2018	azithromycin	0.5	0.5
ERR1528237	Harris2018	cefixime	0.03	0.03
ERR1528237	Harris2018	ceftriaxone	0.015	0.015
ERR1528237	Harris2018	ciprofloxacin	0.015	0.015
ERR1528238	Harris2018	azithromycin	0.5	0.5
ERR1528238	Harris2018	cefixime	0.015	0.015
ERR1528238	Harris2018	ceftriaxone	0.015	0.015
ERR1528238	Harris2018	ciprofloxacin	4	4
ERR1528239	Harris2018	azithromycin	0.5	0.5
ERR1528239	Harris2018	cefixime	0.008	0.008
ERR1528239	Harris2018	ceftriaxone	0.008	0.008
ERR1528239	Harris2018	ciprofloxacin	4	4
ERR1528240	Harris2018	azithromycin	0.125	0.125
ERR1528240	Harris2018	cefixime	0.008	0.008
ERR1528240	Harris2018	ceftriaxone	0.002	0.002
ERR1528240	Harris2018	ciprofloxacin	0.004	0.004
ERR1528241	Harris2018	azithromycin	0.125	0.125
ERR1528241	Harris2018	cefixime	0.004	0.004
ERR1528241	Harris2018	ceftriaxone	0.001	0.001
ERR1528241	Harris2018	ciprofloxacin	0.004	0.004
ERR1528242	Harris2018	azithromycin	0.19	0.19
ERR1528242	Harris2018	cefixime	0.016	0.016
ERR1528242	Harris2018	ceftriaxone	0.016	0.016
ERR1528242	Harris2018	ciprofloxacin	32	32
ERR1528243	Harris2018	azithromycin	0.19	0.19
ERR1528243	Harris2018	cefixime	0.023	0.023
ERR1528243	Harris2018	ceftriaxone	0.032	0.032
ERR1528243	Harris2018	ciprofloxacin	32	32
ERR1528244	Harris2018	azithromycin	0.38	0.38
ERR1528244	Harris2018	cefixime	0.016	0.016
ERR1528244	Harris2018	ceftriaxone	0.006	0.006
ERR1528244	Harris2018	ciprofloxacin	0.002	0.002
ERR1528245	Harris2018	azithromycin	0.125	0.125
ERR1528245	Harris2018	cefixime	0.023	0.023
ERR1528245	Harris2018	ceftriaxone	0.047	0.047
ERR1528245	Harris2018	ciprofloxacin	16	16
ERR1528246	Harris2018	azithromycin	0.25	0.25
ERR1528246	Harris2018	cefixime	0.016	0.016
ERR1528246	Harris2018	ceftriaxone	0.003	0.003
ERR1528246	Harris2018	ciprofloxacin	0.003	0.003
ERR1528247	Harris2018	azithromycin	0.19	0.19
ERR1528247	Harris2018	cefixime	0.047	0.047
ERR1528247	Harris2018	ceftriaxone	0.064	0.064
ERR1528247	Harris2018	ciprofloxacin	32	32
ERR1528248	Harris2018	azithromycin	0.25	0.25
ERR1528248	Harris2018	cefixime	0.016	0.016
ERR1528248	Harris2018	ceftriaxone	0.006	0.006
ERR1528248	Harris2018	ciprofloxacin	3	3
ERR1528249	Harris2018	azithromycin	0.25	0.25
ERR1528249	Harris2018	cefixime	0.064	0.064
ERR1528249	Harris2018	ceftriaxone	0.064	0.064
ERR1528249	Harris2018	ciprofloxacin	32	32
ERR1528250	Harris2018	azithromycin	0.19	0.19
ERR1528250	Harris2018	cefixime	0.032	0.032
ERR1528250	Harris2018	ceftriaxone	0.047	0.047
ERR1528250	Harris2018	ciprofloxacin	16	16
ERR1528251	Harris2018	azithromycin	0.25	0.25
ERR1528251	Harris2018	cefixime	0.016	0.016
ERR1528251	Harris2018	ceftriaxone	0.008	0.008
ERR1528251	Harris2018	ciprofloxacin	0.003	0.003
ERR1528252	Harris2018	azithromycin	0.25	0.25
ERR1528252	Harris2018	cefixime	0.016	0.016
ERR1528252	Harris2018	ceftriaxone	0.016	0.016
ERR1528252	Harris2018	ciprofloxacin	0.012	0.012
ERR1528253	Harris2018	azithromycin	0.38	0.38
ERR1528253	Harris2018	cefixime	0.016	0.016
ERR1528253	Harris2018	ceftriaxone	0.008	0.008
ERR1528253	Harris2018	ciprofloxacin	0.006	0.006
ERR1528254	Harris2018	azithromycin	0.094	0.094
ERR1528254	Harris2018	cefixime	0.016	0.016
ERR1528254	Harris2018	ceftriaxone	0.008	0.008
ERR1528254	Harris2018	ciprofloxacin	0.003	0.003
ERR1528255	Harris2018	azithromycin	0.094	0.094
ERR1528255	Harris2018	cefixime	0.016	0.016
ERR1528255	Harris2018	ceftriaxone	0.004	0.004
ERR1528255	Harris2018	ciprofloxacin	0.004	0.004
ERR1528256	Harris2018	azithromycin	0.38	0.38
ERR1528256	Harris2018	cefixime	0.016	0.016
ERR1528256	Harris2018	ceftriaxone	0.004	0.004
ERR1528256	Harris2018	ciprofloxacin	0.003	0.003
ERR1528257	Harris2018	azithromycin	0.19	0.19
ERR1528257	Harris2018	cefixime	0.016	0.016
ERR1528257	Harris2018	ceftriaxone	0.023	0.023
ERR1528257	Harris2018	ciprofloxacin	0.012	0.012
ERR1528258	Harris2018	azithromycin	0.19	0.19
ERR1528258	Harris2018	cefixime	0.016	0.016
ERR1528258	Harris2018	ceftriaxone	0.003	0.003
ERR1528258	Harris2018	ciprofloxacin	0.003	0.003
ERR1528259	Harris2018	azithromycin	0.125	0.125
ERR1528259	Harris2018	cefixime	0.016	0.016
ERR1528259	Harris2018	ceftriaxone	0.012	0.012
ERR1528259	Harris2018	ciprofloxacin	0.003	0.003
ERR1528260	Harris2018	azithromycin	0.38	0.38
ERR1528260	Harris2018	cefixime	0.016	0.016
ERR1528260	Harris2018	ceftriaxone	0.004	0.004
ERR1528260	Harris2018	ciprofloxacin	0.004	0.004
ERR1528261	Harris2018	azithromycin	0.25	0.25
ERR1528261	Harris2018	cefixime	0.032	0.032
ERR1528261	Harris2018	ceftriaxone	0.047	0.047
ERR1528261	Harris2018	ciprofloxacin	12	12
ERR1528262	Harris2018	azithromycin	0.125	0.125
ERR1528262	Harris2018	cefixime	0.016	0.016
ERR1528262	Harris2018	ceftriaxone	0.004	0.004
ERR1528262	Harris2018	ciprofloxacin	0.008	0.008
ERR1528263	Harris2018	azithromycin	0.19	0.19
ERR1528263	Harris2018	cefixime	0.016	0.016
ERR1528263	Harris2018	ceftriaxone	0.008	0.008
ERR1528263	Harris2018	ciprofloxacin	3	3
ERR1528264	Harris2018	azithromycin	0.19	0.19
ERR1528264	Harris2018	cefixime	0.016	0.016
ERR1528264	Harris2018	ceftriaxone	0.008	0.008
ERR1528264	Harris2018	ciprofloxacin	4	4
ERR1528265	Harris2018	azithromycin	0.25	0.25
ERR1528265	Harris2018	cefixime	0.016	0.016
ERR1528265	Harris2018	ceftriaxone	0.006	0.006
ERR1528265	Harris2018	ciprofloxacin	3	3
ERR1528267	Harris2018	azithromycin	0.25	0.25
ERR1528267	Harris2018	cefixime	0.016	0.016
ERR1528267	Harris2018	ceftriaxone	0.016	0.016
ERR1528267	Harris2018	ciprofloxacin	0.008	0.008
ERR1528268	Harris2018	azithromycin	0.19	0.19
ERR1528268	Harris2018	cefixime	0.016	0.016
ERR1528268	Harris2018	ceftriaxone	0.004	0.004
ERR1528268	Harris2018	ciprofloxacin	0.002	0.002
ERR1528269	Harris2018	azithromycin	0.064	0.064
ERR1528269	Harris2018	cefixime	0.016	0.016
ERR1528269	Harris2018	ceftriaxone	0.002	0.002
ERR1528269	Harris2018	ciprofloxacin	0.003	0.003
ERR1528270	Harris2018	azithromycin	0.19	0.19
ERR1528270	Harris2018	cefixime	0.016	0.016
ERR1528270	Harris2018	ceftriaxone	0.003	0.003
ERR1528270	Harris2018	ciprofloxacin	0.002	0.002
ERR1528271	Harris2018	azithromycin	0.19	0.19
ERR1528271	Harris2018	cefixime	0.016	0.016
ERR1528271	Harris2018	ceftriaxone	0.003	0.003
ERR1528271	Harris2018	ciprofloxacin	0.003	0.003
ERR1528272	Harris2018	azithromycin	0.125	0.125
ERR1528272	Harris2018	cefixime	0.016	0.016
ERR1528272	Harris2018	ceftriaxone	0.006	0.006
ERR1528272	Harris2018	ciprofloxacin	0.004	0.004
ERR1528274	Harris2018	azithromycin	1	1
ERR1528274	Harris2018	cefixime	0.016	0.016
ERR1528274	Harris2018	ceftriaxone	0.047	0.047
ERR1528274	Harris2018	ciprofloxacin	0.023	0.023
ERR1528275	Harris2018	azithromycin	0.094	0.094
ERR1528275	Harris2018	cefixime	0.016	0.016
ERR1528275	Harris2018	ceftriaxone	0.003	0.003
ERR1528275	Harris2018	ciprofloxacin	0.002	0.002
ERR1528277	Harris2018	azithromycin	0.25	0.25
ERR1528277	Harris2018	cefixime	0.032	0.032
ERR1528277	Harris2018	ceftriaxone	0.032	0.032
ERR1528277	Harris2018	ciprofloxacin	8	8
ERR1528278	Harris2018	azithromycin	0.25	0.25
ERR1528278	Harris2018	cefixime	0.016	0.016
ERR1528278	Harris2018	ceftriaxone	0.003	0.003
ERR1528278	Harris2018	ciprofloxacin	0.004	0.004
ERR1528280	Harris2018	azithromycin	0.25	0.25
ERR1528280	Harris2018	cefixime	0.094	0.094
ERR1528280	Harris2018	ceftriaxone	0.094	0.094
ERR1528280	Harris2018	ciprofloxacin	24	24
ERR1528281	Harris2018	azithromycin	0.25	0.25
ERR1528281	Harris2018	cefixime	0.047	0.047
ERR1528281	Harris2018	ceftriaxone	0.047	0.047
ERR1528281	Harris2018	ciprofloxacin	32	32
ERR1528283	Harris2018	azithromycin	0.125	0.125
ERR1528283	Harris2018	cefixime	0.016	0.016
ERR1528283	Harris2018	ceftriaxone	0.003	0.003
ERR1528283	Harris2018	ciprofloxacin	0.003	0.003
ERR1528285	Harris2018	azithromycin	0.125	0.125
ERR1528285	Harris2018	cefixime	0.016	0.016
ERR1528285	Harris2018	ceftriaxone	0.006	0.006
ERR1528285	Harris2018	ciprofloxacin	0.012	0.012
ERR1528286	Harris2018	azithromycin	0.19	0.19
ERR1528286	Harris2018	cefixime	0.016	0.016
ERR1528286	Harris2018	ceftriaxone	0.016	0.016
ERR1528286	Harris2018	ciprofloxacin	0.016	0.016
ERR1528287	Harris2018	azithromycin	0.25	0.25
ERR1528287	Harris2018	cefixime	0.016	0.016
ERR1528287	Harris2018	ceftriaxone	0.004	0.004
ERR1528287	Harris2018	ciprofloxacin	0.003	0.003
ERR1528288	Harris2018	azithromycin	0.25	0.25
ERR1528288	Harris2018	cefixime	0.016	0.016
ERR1528288	Harris2018	ceftriaxone	0.047	0.047
ERR1528288	Harris2018	ciprofloxacin	32	32
ERR1528289	Harris2018	azithromycin	0.19	0.19
ERR1528289	Harris2018	cefixime	0.016	0.016
ERR1528289	Harris2018	ceftriaxone	0.064	0.064
ERR1528289	Harris2018	ciprofloxacin	16	16
ERR1528290	Harris2018	azithromycin	0.125	0.125
ERR1528290	Harris2018	cefixime	0.016	0.016
ERR1528290	Harris2018	ceftriaxone	0.012	0.012
ERR1528290	Harris2018	ciprofloxacin	0.008	0.008
ERR1528291	Harris2018	azithromycin	0.125	0.125
ERR1528291	Harris2018	cefixime	0.032	0.032
ERR1528291	Harris2018	ceftriaxone	0.047	0.047
ERR1528291	Harris2018	ciprofloxacin	12	12
ERR1528292	Harris2018	azithromycin	0.19	0.19
ERR1528292	Harris2018	cefixime	0.023	0.023
ERR1528292	Harris2018	ceftriaxone	0.032	0.032
ERR1528292	Harris2018	ciprofloxacin	8	8
ERR1528293	Harris2018	azithromycin	0.25	0.25
ERR1528293	Harris2018	cefixime	0.016	0.016
ERR1528293	Harris2018	ceftriaxone	0.003	0.003
ERR1528293	Harris2018	ciprofloxacin	0.004	0.004
ERR1528294	Harris2018	azithromycin	0.094	0.094
ERR1528294	Harris2018	cefixime	0.016	0.016
ERR1528294	Harris2018	ceftriaxone	0.003	0.003
ERR1528294	Harris2018	ciprofloxacin	0.002	0.002
ERR1528295	Harris2018	azithromycin	0.19	0.19
ERR1528295	Harris2018	cefixime	0.023	0.023
ERR1528295	Harris2018	ceftriaxone	0.047	0.047
ERR1528295	Harris2018	ciprofloxacin	12	12
ERR1528296	Harris2018	azithromycin	0.125	0.125
ERR1528296	Harris2018	cefixime	0.016	0.016
ERR1528296	Harris2018	ceftriaxone	0.004	0.004
ERR1528296	Harris2018	ciprofloxacin	0.003	0.003
ERR1528297	Harris2018	azithromycin	0.047	0.047
ERR1528297	Harris2018	cefixime	0.016	0.016
ERR1528297	Harris2018	ceftriaxone	0.004	0.004
ERR1528297	Harris2018	ciprofloxacin	0.75	0.75
ERR1528298	Harris2018	azithromycin	0.25	0.25
ERR1528298	Harris2018	cefixime	0.016	0.016
ERR1528298	Harris2018	ceftriaxone	0.004	0.004
ERR1528298	Harris2018	ciprofloxacin	0.004	0.004
ERR1528299	Harris2018	azithromycin	1	1
ERR1528299	Harris2018	cefixime	0.016	0.016
ERR1528299	Harris2018	ceftriaxone	0.006	0.006
ERR1528299	Harris2018	ciprofloxacin	0.006	0.006
ERR1528300	Harris2018	azithromycin	0.38	0.38
ERR1528300	Harris2018	cefixime	0.023	0.023
ERR1528300	Harris2018	ceftriaxone	0.047	0.047
ERR1528300	Harris2018	ciprofloxacin	32	32
ERR1528301	Harris2018	azithromycin	0.5	0.5
ERR1528301	Harris2018	cefixime	0.125	0.125
ERR1528301	Harris2018	ceftriaxone	0.094	0.094
ERR1528301	Harris2018	ciprofloxacin	32	32
ERR1528302	Harris2018	azithromycin	0.38	0.38
ERR1528302	Harris2018	cefixime	0.016	0.016
ERR1528302	Harris2018	ceftriaxone	0.004	0.004
ERR1528302	Harris2018	ciprofloxacin	0.004	0.004
ERR1528303	Harris2018	azithromycin	0.25	0.25
ERR1528303	Harris2018	cefixime	0.016	0.016
ERR1528303	Harris2018	ceftriaxone	0.002	0.002
ERR1528303	Harris2018	ciprofloxacin	0.004	0.004
ERR1528304	Harris2018	azithromycin	0.19	0.19
ERR1528304	Harris2018	cefixime	0.016	0.016
ERR1528304	Harris2018	ceftriaxone	0.008	0.008
ERR1528304	Harris2018	ciprofloxacin	32	32
ERR1528305	Harris2018	azithromycin	0.19	0.19
ERR1528305	Harris2018	cefixime	0.047	0.047
ERR1528305	Harris2018	ceftriaxone	0.032	0.032
ERR1528305	Harris2018	ciprofloxacin	12	12
ERR1528306	Harris2018	azithromycin	0.19	0.19
ERR1528306	Harris2018	cefixime	0.016	0.016
ERR1528306	Harris2018	ceftriaxone	0.004	0.004
ERR1528306	Harris2018	ciprofloxacin	0.004	0.004
ERR1528307	Harris2018	azithromycin	0.38	0.38
ERR1528307	Harris2018	cefixime	0.016	0.016
ERR1528307	Harris2018	ceftriaxone	0.004	0.004
ERR1528307	Harris2018	ciprofloxacin	0.004	0.004
ERR1528308	Harris2018	azithromycin	0.094	0.094
ERR1528308	Harris2018	cefixime	0.016	0.016
ERR1528308	Harris2018	ceftriaxone	0.006	0.006
ERR1528308	Harris2018	ciprofloxacin	0.004	0.004
ERR1528309	Harris2018	azithromycin	0.032	0.032
ERR1528309	Harris2018	cefixime	0.016	0.016
ERR1528309	Harris2018	ceftriaxone	0.003	0.003
ERR1528309	Harris2018	ciprofloxacin	0.004	0.004
ERR1528310	Harris2018	azithromycin	1	1
ERR1528310	Harris2018	cefixime	0.016	0.016
ERR1528310	Harris2018	ceftriaxone	0.004	0.004
ERR1528310	Harris2018	ciprofloxacin	0.004	0.004
ERR1528311	Harris2018	azithromycin	0.064	0.064
ERR1528311	Harris2018	cefixime	0.016	0.016
ERR1528311	Harris2018	ceftriaxone	0.003	0.003
ERR1528311	Harris2018	ciprofloxacin	4	4
ERR1528312	Harris2018	azithromycin	0.25	0.25
ERR1528312	Harris2018	cefixime	0.016	0.016
ERR1528312	Harris2018	ceftriaxone	0.003	0.003
ERR1528312	Harris2018	ciprofloxacin	0.004	0.004
ERR1528313	Harris2018	azithromycin	0.19	0.19
ERR1528313	Harris2018	cefixime	0.023	0.023
ERR1528313	Harris2018	ceftriaxone	0.016	0.016
ERR1528313	Harris2018	ciprofloxacin	0.006	0.006
ERR1528314	Harris2018	azithromycin	1	1
ERR1528314	Harris2018	cefixime	0.064	0.064
ERR1528314	Harris2018	ceftriaxone	0.064	0.064
ERR1528314	Harris2018	ciprofloxacin	32	32
ERR1528315	Harris2018	azithromycin	1	1
ERR1528315	Harris2018	cefixime	0.125	0.125
ERR1528315	Harris2018	ceftriaxone	0.094	0.094
ERR1528315	Harris2018	ciprofloxacin	0.023	0.023
ERR1528316	Harris2018	azithromycin	0.5	0.5
ERR1528316	Harris2018	cefixime	0.023	0.023
ERR1528316	Harris2018	ceftriaxone	0.032	0.032
ERR1528316	Harris2018	ciprofloxacin	32	32
ERR1528317	Harris2018	azithromycin	0.38	0.38
ERR1528317	Harris2018	cefixime	0.094	0.094
ERR1528317	Harris2018	ceftriaxone	0.047	0.047
ERR1528317	Harris2018	ciprofloxacin	32	32
ERR1528318	Harris2018	azithromycin	1	1
ERR1528318	Harris2018	cefixime	0.023	0.023
ERR1528318	Harris2018	ceftriaxone	0.047	0.047
ERR1528318	Harris2018	ciprofloxacin	0.032	0.032
ERR1528319	Harris2018	azithromycin	0.38	0.38
ERR1528319	Harris2018	cefixime	0.016	0.016
ERR1528319	Harris2018	ceftriaxone	0.006	0.006
ERR1528319	Harris2018	ciprofloxacin	0.006	0.006
ERR1528320	Harris2018	azithromycin	1	1
ERR1528320	Harris2018	cefixime	0.25	0.25
ERR1528320	Harris2018	ceftriaxone	0.094	0.094
ERR1528320	Harris2018	ciprofloxacin	32	32
ERR1528321	Harris2018	azithromycin	0.75	0.75
ERR1528321	Harris2018	cefixime	0.047	0.047
ERR1528321	Harris2018	ceftriaxone	0.094	0.094
ERR1528321	Harris2018	ciprofloxacin	32	32
ERR1528322	Harris2018	azithromycin	0.19	0.19
ERR1528322	Harris2018	cefixime	0.016	0.016
ERR1528322	Harris2018	ceftriaxone	0.012	0.012
ERR1528322	Harris2018	ciprofloxacin	0.008	0.008
ERR1528323	Harris2018	azithromycin	0.19	0.19
ERR1528323	Harris2018	cefixime	0.016	0.016
ERR1528323	Harris2018	ceftriaxone	0.008	0.008
ERR1528323	Harris2018	ciprofloxacin	0.008	0.008
ERR1528324	Harris2018	azithromycin	0.032	0.032
ERR1528324	Harris2018	cefixime	0.016	0.016
ERR1528324	Harris2018	ceftriaxone	0.002	0.002
ERR1528324	Harris2018	ciprofloxacin	0.002	0.002
ERR1528325	Harris2018	azithromycin	0.38	0.38
ERR1528325	Harris2018	cefixime	0.016	0.016
ERR1528325	Harris2018	ceftriaxone	0.002	0.002
ERR1528325	Harris2018	ciprofloxacin	0.004	0.004
ERR1528326	Harris2018	azithromycin	0.25	0.25
ERR1528326	Harris2018	cefixime	0.032	0.032
ERR1528326	Harris2018	ceftriaxone	0.023	0.023
ERR1528326	Harris2018	ciprofloxacin	32	32
ERR1528327	Harris2018	azithromycin	1	1
ERR1528327	Harris2018	cefixime	0.25	0.25
ERR1528327	Harris2018	ceftriaxone	0.032	0.032
ERR1528327	Harris2018	ciprofloxacin	32	32
ERR1528328	Harris2018	azithromycin	0.25	0.25
ERR1528328	Harris2018	cefixime	0.094	0.094
ERR1528328	Harris2018	ceftriaxone	0.016	0.016
ERR1528328	Harris2018	ciprofloxacin	32	32
ERR1528329	Harris2018	azithromycin	0.047	0.047
ERR1528329	Harris2018	cefixime	0.016	0.016
ERR1528329	Harris2018	ceftriaxone	0.002	0.002
ERR1528329	Harris2018	ciprofloxacin	0.003	0.003
ERR1528330	Harris2018	azithromycin	0.25	0.25
ERR1528330	Harris2018	cefixime	0.023	0.023
ERR1528330	Harris2018	ceftriaxone	0.004	0.004
ERR1528330	Harris2018	ciprofloxacin	2	2
ERR1528331	Harris2018	azithromycin	0.19	0.19
ERR1528331	Harris2018	cefixime	0.047	0.047
ERR1528331	Harris2018	ceftriaxone	0.006	0.006
ERR1528331	Harris2018	ciprofloxacin	0.002	0.002
ERR1528332	Harris2018	azithromycin	0.38	0.38
ERR1528332	Harris2018	cefixime	0.016	0.016
ERR1528332	Harris2018	ceftriaxone	0.002	0.002
ERR1528332	Harris2018	ciprofloxacin	0.004	0.004
ERR1528333	Harris2018	azithromycin	0.047	0.047
ERR1528333	Harris2018	cefixime	0.064	0.064
ERR1528333	Harris2018	ceftriaxone	0.006	0.006
ERR1528333	Harris2018	ciprofloxacin	2	2
ERR1528334	Harris2018	azithromycin	0.19	0.19
ERR1528334	Harris2018	cefixime	0.023	0.023
ERR1528334	Harris2018	ceftriaxone	0.016	0.016
ERR1528334	Harris2018	ciprofloxacin	8	8
ERR1549677	Harris2018	cefixime	0.016	0.016
ERR1549677	Harris2018	ceftriaxone	0.003	0.003
ERR1549678	Harris2018	cefixime	0.016	0.016
ERR1549678	Harris2018	ceftriaxone	0.016	0.016
ERR1549679	Harris2018	azithromycin	0.75	0.75
ERR1549679	Harris2018	cefixime	0.125	0.125
ERR1549679	Harris2018	ceftriaxone	0.064	0.064
ERR1549680	Harris2018	cefixime	0.016	0.016
ERR1549680	Harris2018	ceftriaxone	0.002	0.002
ERR1549681	Harris2018	cefixime	0.094	0.094
